folder_name,tglf_electron_flux,tglf_ion_flux,cgyro_electron_flux,cgyro_ion_flux,electron_abs_diff,ion_abs_diff,electron_pct_diff,ion_pct_diff
2019_03-isotope_h_at3_filtered,5.7304,12.8237,9.263,21.8797,3.5326,9.056,38.1362,41.3899
2019_03-isotope_h_an0_filtered,4.6636,12.136,7.6538,26.1137,2.9901,13.9777,39.0675,53.5263
2019_03-isotope_h_at0_filtered,0.4536,0.9442,1.1588,2.2322,0.7051,1.288,60.8516,57.7005
2019_03-isotope_h_at1_filtered,0.9866,2.089,2.7118,5.6721,1.7252,3.5831,63.6188,63.1707
2019_03-isotope_h_at2_filtered,2.8881,6.4083,5.332,12.2879,2.4438,5.8796,45.8336,47.8486
2019_03-isotope_h_b2_filtered,46.1732,42.9112,42.4276,40.7686,3.7455,2.1425,8.8281,5.2554
2019_03-isotope_h_a4_filtered,7.9952,16.6803,11.8317,24.7769,3.8364,8.0966,32.4251,32.6781
2019_03-isotope_h_b4_filtered,32.3803,29.33,27.0083,24.8158,5.372,4.5143,19.8903,18.1912
2019_03-isotope_h_a0_filtered,9.5951,22.2051,12.664,31.7292,3.0689,9.5241,24.2335,30.0169
2019_03-isotope_h_a2_filtered,9.0027,19.8357,12.4619,28.328,3.4591,8.4923,27.7579,29.9785
2019_03-isotope_h_a5_filtered,7.3447,14.9451,10.0044,20.4371,2.6598,5.4921,26.586,26.8731
2019_03-isotope_h_a1_filtered,9.2095,21.0814,13.418,32.7221,4.2085,11.6407,31.3648,35.5744
2019_03-isotope_h_a6_filtered,6.8515,13.6991,10.1478,21.0675,3.2963,7.3684,32.4826,34.9752
2019_03-isotope_h_an4_filtered,21.8348,30.3579,19.8062,26.5541,2.0285,3.8038,10.2419,14.3246
2019_03-isotope_h_b3_filtered,39.1637,35.896,34.1838,32.379,4.98,3.5169,14.5682,10.8618
2019_03-isotope_h_at5_filtered,13.3182,30.7567,18.5855,45.3047,5.2673,14.548,28.3409,32.1115
2019_03-isotope_h_a3_filtered,8.5523,18.3573,12.1044,26.6766,3.5521,8.3192,29.3457,31.1855
2019_03-isotope_h_an5_filtered,36.691,39.7432,30.679,32.781,6.012,6.9623,19.5964,21.2387
2019_03-isotope_h_an1_filtered,6.5429,16.6143,12.685,38.1669,6.142,21.5526,48.4198,56.4694
2019_03-isotope_h_an3_filtered,13.5442,25.4209,15.9802,29.0749,2.436,3.654,15.244,12.5676
2019_03-isotope_h_an6_filtered,53.5082,50.5142,46.0625,44.57,7.4457,5.9442,16.1644,13.3367
2019_03-isotope_h_b6_filtered,23.0331,20.4937,17.359,15.4645,5.6741,5.0293,32.6869,32.5214
2019_03-isotope_h_an2_filtered,9.2095,21.0814,12.5889,30.1392,3.3794,9.0578,26.8444,30.0532
2019_03-isotope_h_b5_filtered,26.0286,23.2515,19.411,17.3988,6.6176,5.8527,34.0922,33.6385
2019_03-isotope_t_at3_filtered,7.8418,18.1608,10.8835,28.2881,3.0416,10.1272,27.9474,35.8004
2019_03-isotope_t_an0_filtered,7.3229,19.0295,7.5763,27.6405,0.2534,8.611,3.3445,31.1535
2019_03-isotope_t_at0_filtered,0.4449,0.9113,0.9442,1.8398,0.4994,0.9285,52.8845,50.4678
2019_03-isotope_t_at1_filtered,1.1525,2.3475,2.6894,5.8354,1.5368,3.4879,57.1445,59.7714
2019_03-isotope_t_at2_filtered,3.7722,8.4448,5.9595,14.479,2.1873,6.0342,36.703,41.6759
2019_03-isotope_t_b2_filtered,50.8936,47.4343,24.9026,21.7538,25.991,25.6805,104.3706,118.0503
2019_03-isotope_t_a4_filtered,9.6813,21.8745,11.3974,27.5682,1.7161,5.6936,15.0573,20.6528
2019_03-isotope_t_b4_filtered,30.3633,27.8305,13.5565,11.3543,16.8068,16.4762,123.9762,145.1089
2019_03-isotope_t_a0_filtered,14.2254,34.3917,16.4643,46.6995,2.2389,12.3078,13.5982,26.3554
2019_03-isotope_t_a2_filtered,12.0841,27.9811,15.1409,38.8825,3.0568,10.9014,20.1888,28.0369
2019_03-isotope_t_a5_filtered,8.5666,19.5053,10.4869,26.4135,1.9204,6.9082,18.3121,26.154
2019_03-isotope_t_a1_filtered,13.0747,30.8476,15.2485,40.9985,2.1738,10.1509,14.2558,24.7591
2019_03-isotope_t_a6_filtered,7.9937,18.4152,9.5745,26.0062,1.5808,7.591,16.5104,29.1891
2019_03-isotope_t_an4_filtered,24.529,38.5559,17.7737,26.8553,6.7553,11.7006,38.0072,43.5693
2019_03-isotope_t_b0_filtered,79.5012,75.8454,41.9937,38.0834,37.5075,37.762,89.3171,99.1559
2019_03-isotope_t_b3_filtered,40.1419,37.0192,19.5216,16.7269,20.6203,20.2923,105.6277,121.3153
2019_03-isotope_t_at5_filtered,19.2534,45.8158,20.5201,53.7723,1.2667,7.9565,6.1729,14.7966
2019_03-isotope_t_a3_filtered,11.0231,25.1542,13.9097,33.9869,2.8866,8.8326,20.7525,25.9884
2019_03-isotope_t_an5_filtered,40.0557,44.9835,23.3882,25.249,16.6675,19.7344,71.2645,78.1593
2019_03-isotope_t_an1_filtered,9.9913,25.2984,11.5955,37.6638,1.6042,12.3653,13.8347,32.8308
2019_03-isotope_t_an3_filtered,17.3011,35.398,16.9829,35.2909,0.3182,0.107,1.8737,0.3033
2019_03-isotope_t_an6_filtered,62.638,58.8653,34.6884,31.0279,27.9496,27.8374,80.5732,89.7171
2019_03-isotope_t_b6_filtered,18.3818,16.951,3.7981,3.263,14.5838,13.688,383.9758,419.4912
2019_03-isotope_t_an2_filtered,13.0747,30.8476,14.4245,38.3943,1.3498,7.5467,9.3577,19.6558
2019_03-isotope_t_b5_filtered,21.9684,20.2054,7.5529,6.204,14.4156,14.0014,190.862,225.6813
2019_10-exb_2res_b1_filtered,12.3517,29.5824,14.7798,39.1438,2.428,9.5614,16.428,24.4263
2019_10-exb_2res_a1_filtered,12.3517,29.5824,14.4769,38.8464,2.1252,9.2639,14.6797,23.8476
2019_05-garyshift_stdS00G00_low_filtered,12.3517,29.5824,15.0777,41.4242,2.726,11.8418,18.0796,28.5866
2019_05-garyshift_stdS00G00_med_filtered,12.3517,29.5824,14.779,39.574,2.4273,9.9915,16.4238,25.2477
2019_05-garyshift_stdS00G00_high_filtered,12.3517,29.5824,14.2665,38.9284,1.9148,9.346,13.4216,24.0082
2019_05-garyshift_stdS25G00_med_filtered,13.2702,30.6579,18.6764,49.3658,5.4061,18.7078,28.9464,37.8963
2019_05-garyshift_stdS50G00_low_filtered,9.8334,23.1512,22.5612,56.4371,12.7278,33.286,56.4144,58.9789
2019_05-garyshift_stdS50G00_med_filtered,9.8334,23.1512,21.7018,55.8746,11.8684,32.7234,54.6885,58.5658
2020_08-nuei_lor_alor7_filtered,8.0798,17.5399,11.5399,26.6386,3.4601,9.0987,29.9836,34.1559
2020_08-nuei_lor_blor1_filtered,92.7192,90.4132,57.4439,53.6513,35.2753,36.7619,61.4083,68.52
2020_08-nuei_lor_blor6_filtered,31.8684,29.0227,22.6332,19.0419,9.2352,9.9808,40.8038,52.4147
2020_08-nuei_lor_blor5_filtered,40.5567,37.3677,28.8387,25.2079,11.718,12.1598,40.6331,48.2382
2020_08-nuei_lor_blor0_filtered,105.0187,103.3533,65.2158,60.931,39.8029,42.4223,61.0326,69.6234
2020_08-nuei_lor_alor4_filtered,10.9006,24.8796,14.1483,35.1535,3.2477,10.2739,22.9547,29.2259
2020_08-nuei_lor_alor3_filtered,11.6157,27.0937,13.3916,35.2129,1.7758,8.1192,13.2607,23.0574
2020_08-nuei_lor_blor2_filtered,74.0391,70.9447,49.389,45.5447,24.6502,25.4,49.9103,55.7694
2020_08-nuei_lor_blor4_filtered,49.885,46.4178,33.177,29.5616,16.7081,16.8563,50.3605,57.0208
2020_08-nuei_lor_blor8_filtered,20.5229,18.6345,15.2133,12.0915,5.3096,6.5429,34.9007,54.1118
2020_08-nuei_lor_alor1_filtered,12.9578,31.63,15.3647,43.2892,2.4069,11.6592,15.6653,26.9333
2020_08-nuei_lor_blor3_filtered,59.8709,56.3194,39.5292,35.9943,20.3417,20.3252,51.4599,56.4677
2020_08-nuei_lor_alor2_filtered,12.3517,29.5824,15.0274,40.0582,2.6756,10.4758,17.8049,26.1514
2020_08-nuei_lor_alor6_filtered,9.0101,19.6615,11.9722,28.2262,2.9621,8.5647,24.7411,30.343
2020_08-nuei_lor_alor0_filtered,12.9666,32.3353,14.4294,38.4415,1.4628,6.1062,10.1375,15.8843
2020_08-nuei_lor_alor5_filtered,10.0961,22.5507,13.8918,33.2802,3.7957,10.7295,27.3232,32.2398
2020_08-nuei_lor_blor7_filtered,23.9857,21.7886,17.5216,14.2004,6.4641,7.5882,36.8922,53.4367
2020_08-nuei_lor_alor8_filtered,7.6109,16.5364,9.94,23.6746,2.3291,7.1381,23.4316,30.1511
2020_08-nuei_lor_alor3_hnorm_filtered,16.3391,38.2942,19.4111,49.1692,3.072,10.875,15.8259,22.1176
2019_11-exb_shift_b1_filtered,13.6178,31.2582,15.9841,41.2245,2.3663,9.9663,14.8042,24.1757
2019_11-exb_shift_c1_filtered,11.1215,26.1714,18.7311,46.5488,7.6096,20.3774,40.6254,43.7764
2019_11-exb_shift_a1_filtered,13.4279,31.11,16.7666,44.4389,3.3387,13.3289,19.9128,29.9938
2019_03-isotope_d_at3_filtered,7.0524,16.1621,9.5584,24.4481,2.506,8.286,26.2182,33.8921
2019_03-isotope_d_an0_filtered,6.2901,16.2811,8.167,29.66,1.8769,13.379,22.9813,45.1077
2019_03-isotope_d_at0_filtered,0.4582,0.9398,1.0835,2.1425,0.6253,1.2027,57.7099,56.1343
2019_03-isotope_d_b1_filtered,59.8709,56.3194,35.9342,32.8268,23.9367,23.4926,66.6125,71.5652
2019_03-isotope_d_at1_filtered,1.103,2.2875,2.1651,4.7244,1.062,2.4369,49.0538,51.581
2019_03-isotope_d_at2_filtered,3.4437,7.7396,5.7973,14.1516,2.3536,6.412,40.5988,45.3093
2019_03-isotope_d_b2_filtered,49.885,46.4178,30.7853,27.5583,19.0997,18.8596,62.0418,68.4353
2019_03-isotope_d_a4_filtered,9.0101,19.6615,11.558,26.1955,2.5479,6.534,22.0443,24.9432
2019_03-isotope_d_b4_filtered,31.8684,29.0227,17.452,14.9056,14.4164,14.1172,82.6055,94.7108
2019_03-isotope_d_a0_filtered,12.3517,29.5824,15.0777,41.4242,2.726,11.8418,18.0796,28.5866
2019_03-isotope_d_a2_filtered,10.9006,24.8796,13.5209,33.0579,2.6204,8.1783,19.38,24.7395
2019_03-isotope_d_a5_filtered,8.0798,17.5399,10.8992,25.0714,2.8194,7.5315,25.8676,30.0402
2019_03-isotope_d_a1_filtered,11.6157,27.0937,14.5297,38.0434,2.914,10.9497,20.0553,28.7821
2019_03-isotope_d_a6_filtered,7.6109,16.5364,9.2578,21.9852,1.6469,5.4488,17.7891,24.784
2019_03-isotope_d_an4_filtered,23.6025,35.4961,17.8177,25.6061,5.7848,9.89,32.4668,38.6235
2019_03-isotope_d_b0_filtered,74.0391,70.9447,47.1405,43.5882,26.8986,27.3565,57.0605,62.7613
2019_03-isotope_d_b3_filtered,40.5567,37.3677,23.3116,20.4525,17.2451,16.9152,73.9766,82.705
2019_03-isotope_d_at5_filtered,16.9529,39.9594,20.1728,52.74,3.2199,12.7806,15.9616,24.2332
2019_03-isotope_d_a3_filtered,10.0961,22.5507,12.8265,30.4736,2.7303,7.9229,21.2868,25.9992
2019_03-isotope_d_an5_filtered,39.2538,43.8051,26.0888,27.8279,13.165,15.9773,50.4625,57.4145
2019_03-isotope_d_an1_filtered,8.6238,21.8981,11.2372,35.6654,2.6134,13.7673,23.2565,38.6013
2019_03-isotope_d_an3_filtered,15.8767,31.6381,15.4311,30.9897,0.4456,0.6484,2.8877,2.0922
2019_03-isotope_d_an6_filtered,59.8709,56.3194,35.9342,32.8268,23.9367,23.4926,66.6125,71.5652
2019_03-isotope_d_b6_filtered,20.5229,18.6345,8.3893,7.0444,12.1336,11.5901,144.6316,164.5307
2019_03-isotope_d_an2_filtered,11.6157,27.0937,13.5808,34.855,1.9651,7.7613,14.4696,22.2675
2019_03-isotope_d_b5_filtered,23.9857,21.7886,10.4526,8.7225,13.5332,13.0661,129.4723,149.7968
